Date,Price
2015-01-31,2046.2641129882372
2015-02-28,2041.092440628058
2015-03-31,2100.9564977635628
2015-04-30,2239.6372491606935
2015-05-31,2225.424703598173
2015-06-30,2211.3038018156863
2015-07-31,2362.571890507651
2015-08-31,2443.5409563484736
2015-09-30,2405.286981572546
2015-10-31,2465.443290595481
2015-11-30,2427.43444950916
2015-12-31,2389.7905530212697
2016-01-31,2420.2823774225158
2016-02-29,2248.701657292102
2016-03-31,2105.085944748358
2016-04-30,2064.4519547848518
2016-05-31,1988.4422617805276
2016-06-30,2019.6443720650445
2016-07-31,1953.456718629754
2016-08-31,1851.7077685363527
2016-09-30,1969.410544849237
2016-10-31,1957.568672773085
2016-11-30,1968.7608965487298
2016-12-31,1865.2860715108561
2017-01-31,1830.5914693017985
2017-02-28,1844.256150045436
2017-03-31,1766.5637622197514
2017-04-30,1798.7000384479245
2017-05-31,1761.276192271315
2017-06-30,1746.0758620677925
2017-07-31,1709.6738837157557
2017-08-31,1846.6880074956266
2017-09-30,1851.2366577940427
2017-10-31,1779.879102906914
2017-11-30,1844.9408894970154
2017-12-31,1762.2889304631703
2018-01-31,1782.412950638873
2018-02-28,1652.9824994072824
2018-03-31,1572.1652190427042
2018-04-30,1589.3549452290636
2018-05-31,1641.921007350404
2018-06-30,1658.1816883310025
2018-07-31,1655.4877894709803
2018-08-31,1640.5828161716852
2018-09-30,1551.016736327117
2018-10-31,1511.5217222727947
2018-11-30,1488.3845774879987
2018-12-31,1557.3353389021606
2019-01-31,1583.632052407905
2019-02-28,1480.2327960688967
2019-03-31,1504.051893852146
2019-04-30,1485.5119162627616
2019-05-31,1450.1725619523531
2019-06-30,1490.556602830441
2019-07-31,1557.979189308982
2019-08-31,1621.9689213495212
2019-09-30,1573.1375960250796
2019-10-31,1558.4684853048852
2019-11-30,1584.0013348589698
2019-12-31,1651.982267679125
2020-01-31,1625.4894520267753
2020-02-29,1618.310352411012
2020-03-31,1552.9078624413642
2020-04-30,1484.8012852985792
2020-05-31,1538.460100754904
2020-06-30,1629.1063007772616
2020-07-31,1629.3011456191587
2020-08-31,1701.1295877356
2020-09-30,1731.1015409901836
2020-10-31,1692.0708682166446
2020-11-30,1721.8666583225563
2020-12-31,1836.6264385567617
2021-01-31,1839.506611814277
2021-02-28,1964.1962648833983
2021-03-31,1774.100141741349
2021-04-30,1838.903430268121
2021-05-31,1850.8617008391182
2021-06-30,1834.3515143369011
2021-07-31,1846.6283299608156
2021-08-31,1710.624819579934
2021-09-30,1700.75423416867
2021-10-31,1730.40644926957
2021-11-30,1841.3004429949808
2021-12-31,1808.9404294079882
2022-01-31,1756.637607683169
2022-02-28,1726.9057959707416
2022-03-31,1796.6922484075617
2022-04-30,1825.9444846204622
2022-05-31,1793.0300799966776
2022-06-30,1835.7216393645945
2022-07-31,1848.4006841251007
2022-08-31,1927.1969115375691
2022-09-30,1879.4598956108
2022-10-31,1860.5608232120364
2022-11-30,1837.109906911111
2022-12-31,1737.8575059006234
2023-01-31,1763.8481077608753
2023-02-28,1787.7181999762406
2023-03-31,1793.4562002667756
2023-04-30,1782.0441619552926
2023-05-31,1689.016287909315
2023-06-30,1665.8249536574056
2023-07-31,1648.081505903257
2023-08-31,1600.8276823512763
2023-09-30,1595.3120639746953
2023-10-31,1626.1762543608731
2023-11-30,1758.882807116588
2023-12-31,1776.5298718316274
