Date,Oil,EURUSD,VIX,XLK
2015-01-31,50.71510078144553,1.0923717478546244,12.987965237000596,99.5926115839277
2015-02-28,50.76620894991319,1.0901035617872243,12.571622774424537,102.1675638901484
2015-03-31,47.12866651931511,1.0853499263089332,17.316221747000135,107.30604229265748
2015-04-30,47.27563876841668,1.0862686677027964,16.58332538792587,107.9758729552029
2015-05-31,47.59609918829873,1.1095152533695316,16.24823963410431,113.83684851865239
2015-06-30,52.722583413269305,1.090942601443614,16.25669101852856,109.65764850346662
2015-07-31,52.53786148370706,1.0979052033473593,14.97550645430617,104.61236459857564
2015-08-31,53.340956168374284,1.0818780446354628,13.205491257028337,104.85676983041272
2015-09-30,53.4715326289638,1.0772587259775683,15.151609116387453,106.49705003302488
2015-10-31,51.33417655372473,1.088248231947242,13.645676576975777,106.81906727223253
2015-11-30,53.81982218275478,1.0889910321381966,16.9502394668355,100.79746233792876
2015-12-31,55.52368824812832,1.0783135843589036,14.705885236995723,100.93124867989826
2016-01-31,57.305752142214416,1.071260547266304,13.349005606414977,97.44669337756568
2016-02-29,55.68697723262494,1.0781565247556506,14.357228316694012,99.822705789965
2016-03-31,58.69256585449713,1.0709528584384793,15.82586290855125,101.33112479847219
2016-04-30,56.08886372891257,1.073217444334299,13.87255089439205,98.90870215176257
2016-05-31,57.46257791651311,1.0737731627333371,13.355559208867136,97.7859803576383
2016-06-30,62.04348916813307,1.067357159257279,15.487374422983825,95.10721279357509
2016-07-31,60.2624165178717,1.0888966001505322,15.489933142217446,95.30901841826467
2016-08-31,59.329821058666155,1.0953357903737124,13.98611364925774,98.47263651235649
2016-09-30,59.729123788841434,1.0751843645071364,14.057923388763355,95.98643950065492
2016-10-31,58.922172480609035,1.0771489076548306,15.464099874715272,97.83949420524513
2016-11-30,56.02084561847677,1.0706310430071466,12.103831317005351,96.68135714225869
2016-12-31,56.35797156808883,1.079255376355109,12.185072451246889,94.78720276661097
2017-01-31,54.43336414063661,1.071430168970782,13.563111557495128,94.86202784268873
2017-02-28,55.58054900190698,1.070382804556113,14.573105696576306,92.32973334946215
2017-03-31,53.94170053343937,1.0755326773459175,15.621815131196009,91.17281291203375
2017-04-30,57.24156934347445,1.0842902292876186,17.950712433899103,88.30709114700656
2017-05-31,55.875062758801974,1.072387265217061,16.71531924640404,94.04394432172016
2017-06-30,55.430939726390626,1.0691422528586514,14.680122940073145,94.52081477101567
